year,month,day,u1060S
1979,8,3,2.076954
1979,8,4,1.5183563
1979,8,5,-0.04352188
1979,8,6,-0.5644264
1979,8,7,0.8485794
1979,8,8,2.1191216
1979,8,9,3.234249
1979,8,10,2.4242249
1979,8,11,2.2566109
1979,8,12,2.9476051
1979,8,13,4.1598663
1979,8,14,4.8858795
1979,8,15,3.0250587
1979,8,16,0.2554779
1979,8,17,0.108291626
1979,8,18,1.6453285
1979,8,19,3.750618
1979,8,20,5.839443
1979,8,21,5.6989784
1979,8,22,5.475746
1979,8,23,5.8605576
1979,8,24,3.4656563
1979,8,25,1.92453
1979,8,26,4.951023
1979,8,27,6.750885
1979,8,28,4.4114876
1979,8,29,5.352829
1979,8,30,6.8935738
1979,8,31,5.879822
1979,9,1,4.537945
1979,9,2,3.9345093
1979,9,3,5.3097954
1979,9,4,5.011986
1979,9,5,2.7228928
1979,9,6,1.371067
1979,9,7,-0.6739044
1979,9,8,0.4641838
1979,9,9,3.3508873
1979,9,10,4.4650726
1979,9,11,2.940689
1979,9,12,4.352459
1979,9,13,3.1094627
1979,9,14,1.9892082
1979,9,15,5.5124207
1979,9,16,3.9136086
1979,9,17,-0.04666519
1979,9,18,-4.9700203
1979,9,19,-5.864422
1979,9,20,-3.6584358
1979,9,21,-3.246296
1979,9,22,-6.7408066
1979,9,23,-7.6646194
1979,9,24,-6.983574
1979,9,25,-3.584404
1979,9,26,1.2424431
1979,9,27,5.1140785
1979,9,28,2.3055153
1979,9,29,-3.5507889
1979,9,30,-4.359768
1979,10,1,-5.397808
1979,10,2,-5.9827614
1979,10,3,-5.0936966
1979,10,4,-4.6056557
1979,10,5,-3.715126
1979,10,6,-1.9036102
1979,10,7,-1.564354
1979,10,8,-1.8751793
1979,10,9,-0.63433456
1979,10,10,-1.3029404
1979,10,11,-1.6057968
1979,10,12,-1.3964119
1979,10,13,-2.4393997
1979,10,14,-2.8569603
1979,10,15,-4.41827
1979,10,16,-4.855938
1979,10,17,-5.4365196
1979,10,18,-7.119091
1979,10,19,-7.263424
1979,10,20,-7.961708
1979,10,21,-10.188946
1979,10,22,-11.840271
1979,10,23,-10.954868
1979,10,24,-9.295866
1979,10,25,-10.179365
1979,10,26,-11.048468
1979,10,27,-9.7868
1979,10,28,-10.101999
1979,10,29,-8.474276
1979,10,30,-7.7997417
1979,10,31,-6.854166
1979,11,1,-4.2822037
1979,11,2,-3.5213318
1979,11,3,-3.7457695
1979,11,4,-4.378109
1979,11,5,-3.9292755
1979,11,6,-2.9335556
1979,11,7,-2.2074738
1979,11,8,-2.425228
1979,11,9,-3.0563698
1979,11,10,-1.5878143
1979,11,11,-1.5009136
1979,11,12,-2.790905
1979,11,13,-1.923315
1979,11,14,-3.0644455
1979,11,15,-4.423315
1979,11,16,-6.613657
1979,11,17,-8.709768
1979,11,18,-9.411377
1979,11,19,-10.617067
1979,11,20,-12.231892
1979,11,21,-13.667641
1979,11,22,-16.049274
1979,11,23,-18.651539
1979,11,24,-19.308144
1979,11,25,-18.69055
1979,11,26,-18.568213
1979,11,27,-18.089096
1979,11,28,-18.463877
1979,11,29,-17.97676
1979,11,30,-17.094536
1979,12,1,-16.692955
1979,12,2,-15.8121195
1979,12,3,-14.776842
1979,12,4,-14.243108
1979,12,5,-14.216549
1979,12,6,-13.5602255
1979,12,7,-12.811581
1979,12,8,-11.864706
1979,12,9,-11.45174
1979,12,10,-10.88245
1979,12,11,-9.882372
1979,12,12,-9.549262
1979,12,13,-10.092642
1979,12,14,-9.711915
1979,12,15,-8.732351
1979,12,16,-8.561655
1979,12,17,-8.167805
1979,12,18,-7.9497833
1979,12,19,-7.951335
1979,12,20,-6.912382
1979,12,21,-5.4574986
1979,12,22,-4.7244625
1979,12,23,-3.9989758
1979,12,24,-3.5564933
1979,12,25,-3.131847
1979,12,26,-2.7410793
1979,12,27,-2.5291715
1979,12,28,-2.4770126
1979,12,29,-1.679644
1979,12,30,-0.70811486
1979,12,31,-0.31194806
1980,1,1,0.004436612
1980,1,2,0.16859376
1980,1,3,-0.3537463
1980,1,4,-0.69713515
1980,1,5,-0.9555346
1980,1,6,-1.2077396
1980,1,7,-1.3165594
1980,1,8,-1.2321132
1980,1,9,-0.9778513
1980,1,10,-1.1733861
1980,1,11,-1.5041763
1980,1,12,-1.6771988
1980,1,13,-1.4331238
1980,1,14,-1.5220472
1980,1,15,-1.5114276
1980,1,16,-1.2945247
1980,1,17,-1.9911337
1980,1,18,-2.656977
1980,1,19,-1.7176799
1980,1,20,-0.9109824
1980,1,21,-0.5929706
1980,1,22,-1.0066509
1980,1,23,-1.7184889
1980,1,24,-2.2748885
1980,1,25,-2.709822
1980,1,26,-2.4148765
1980,1,27,-2.8497758
1980,1,28,-2.4224653
1980,1,29,-1.6285021
1980,1,30,-1.4313538
1980,1,31,-1.6202345
1980,2,1,-1.6968608
1980,2,2,-1.320647
1980,2,3,-1.2761037
1980,2,4,-1.4598541
1980,2,5,-1.297729
1980,2,6,-1.6172388
1980,2,7,-2.0462172
1980,2,8,-2.8887835
1980,2,9,-3.6714091
1980,2,10,-3.9085732
1980,2,11,-3.1079543
1980,2,12,-2.7035577
1980,2,13,-3.662669
1980,2,14,-3.9983368
1980,2,15,-4.2445517
1980,2,16,-4.004858
1980,2,17,-3.6042747
1980,2,18,-2.9546041
1980,2,19,-2.413311
1980,2,20,-2.0027266
1980,2,21,-1.7280922
1980,2,22,-2.3352509
1980,2,23,-2.5557485
1980,2,24,-2.5026102
1980,2,25,-3.0744371
1980,2,26,-3.1156082
1980,2,27,-3.2423525
1980,2,28,-3.561163
1980,2,29,nan
1980,3,1,-2.9886556
1980,3,2,-1.9884348
1980,3,3,-1.6199784
1980,3,4,-2.2963133
1980,3,5,-3.1624956
1980,3,6,-3.1486578
1980,3,7,-3.325791
1980,3,8,-3.9051695
1980,3,9,-3.4862924
1980,3,10,-2.734621
1980,3,11,-2.7852745
1980,3,12,-3.088107
1980,3,13,-2.7461004
1980,3,14,-2.8958073
1980,3,15,-3.2496939
1980,3,16,-3.465086
1980,3,17,-5.6433725
1980,3,18,-6.2967734
1980,3,19,-5.4960566
1980,3,20,-4.885376
1980,3,21,-4.013651
1980,3,22,-3.9959621
1980,3,23,-4.2754107
1980,3,24,-4.5140285
1980,3,25,-4.726754
1980,3,26,-5.0109806
1980,3,27,-5.187108
1980,3,28,-4.9463654
1980,3,29,-4.840762
1980,3,30,-4.6661024
1980,3,31,-3.222001
1980,4,1,-2.6982708
1980,4,2,-2.6571846
1980,4,3,-3.248763
1980,4,4,-4.293536
1980,4,5,-4.819707
1980,4,6,-5.491624
1980,4,7,-6.211548
1980,4,8,-6.270591
1980,4,9,-6.25132
1980,4,10,-6.132247
1980,4,11,-6.1059256
1980,4,12,-6.376793
1980,4,13,-6.165842
1980,4,14,-5.906253
1980,4,15,-6.7429867
1980,4,16,-7.03891
1980,4,17,-6.349264
1980,4,18,-5.6151934
1980,4,19,-3.3309917
1980,4,20,-1.9509487
1980,4,21,-1.4265633
1980,4,22,-1.9702587
1980,4,23,-1.5300674
1980,4,24,-1.4914074
1980,4,25,-1.503891
1980,4,26,-0.7355633
1980,4,27,-0.72694206
1980,4,28,-2.2905846
1980,4,29,-3.6396904
1980,4,30,-4.331007
1980,5,1,-4.214901
1980,5,2,-3.6368027
1980,5,3,-3.4554424
1980,5,4,-3.2666302
1980,5,5,-2.6409607
1980,5,6,-1.6019554
1980,5,7,-2.1361065
1980,5,8,-2.6630936
1980,5,9,-1.8407803
1980,5,10,-2.433134
