# Daily data projected onto EOF1 of GPHA calculated for each month
# (June–December) at 10 hPa over the domain of 20–90S
# standardized daily PC1 > 1.0, which persists for 15 days
# two events should be separated by 60 days
Date
1979-10-12
1979-12-11
1980-11-21
1981-12-01
1982-12-09
1986-07-21
1988-08-01
1988-09-30
1988-11-29
1989-12-17
1991-11-13
1992-06-06
1994-06-05
1994-11-24
1996-06-08
2000-10-17
2002-06-01
2002-08-13
2002-10-25
2004-08-17
2012-10-06
2013-10-13
2017-08-07
2019-07-04
2019-09-02
2019-11-01
2020-08-15
2023-07-19
