# Daily data projected onto EOF1 of GPHA calculated for each month
# (June–December) at 10 hPa over the domain of 20–90S
# standardized daily PC1 > 1.0, which persists for 15 days
# two events should be separated by 60 days
Date
1979-07-07
1979-10-11
1979-12-10
1980-11-21
1981-12-01
1982-12-09
1984-06-20
1985-06-13
1986-08-08
1988-09-01
1988-10-31
1989-12-17
1991-11-13
1992-10-17
1993-06-10
1994-11-23
1996-08-14
2000-10-18
2001-06-25
2002-07-11
2002-09-09
2004-10-08
2007-07-03
2010-07-19
2012-10-03
2013-10-14
2016-07-28
2019-09-04
2019-11-03
