year,month,day,u1060S
1979,8,4,6.3595886
1979,8,5,5.011833
1979,8,6,5.523758
1979,8,7,5.530052
1979,8,8,6.5102386
1979,8,9,6.0327682
1979,8,10,4.9954834
1979,8,11,3.9495392
1979,8,12,4.5057907
1979,8,13,6.050308
1979,8,14,7.7260513
1979,8,15,8.042465
1979,8,16,6.3658905
1979,8,17,5.5994415
1979,8,18,6.5369186
1979,8,19,8.072189
1979,8,20,7.706131
1979,8,21,6.3718414
1979,8,22,6.4752884
1979,8,23,8.293816
1979,8,24,5.165329
1979,8,25,3.402916
1979,8,26,6.6453705
1979,8,27,6.8261566
1979,8,28,4.5781097
1979,8,29,3.2720642
1979,8,30,3.472847
1979,8,31,1.7387161
1979,9,1,3.2725601
1979,9,2,5.914673
1979,9,3,5.8601227
1979,9,4,7.190735
1979,9,5,6.513405
1979,9,6,6.920929
1979,9,7,7.070442
1979,9,8,9.037117
1979,9,9,10.5527725
1979,9,10,5.76812
1979,9,11,-0.48506927
1979,9,12,1.6627655
1979,9,13,1.6989746
1979,9,14,-1.1737442
1979,9,15,0.9048233
1979,9,16,7.2437744
1979,9,17,3.2772293
1979,9,18,-6.602066
1979,9,19,-4.5900497
1979,9,20,-5.085087
1979,9,21,-7.2671585
1979,9,22,-7.580654
1979,9,23,-5.7011604
1979,9,24,0.39683914
1979,9,25,3.5193138
1979,9,26,4.989746
1979,9,27,8.327557
1979,9,28,6.458393
1979,9,29,0.29043198
1979,9,30,-6.453785
1979,10,1,-10.346607
1979,10,2,-10.77882
1979,10,3,-13.073261
1979,10,4,-12.522976
1979,10,5,-10.981247
1979,10,6,-7.9105644
1979,10,7,-6.147896
1979,10,8,-7.003422
1979,10,9,-5.739231
1979,10,10,-6.6832657
1979,10,11,-7.6385155
1979,10,12,-8.4714775
1979,10,13,-12.600168
1979,10,14,-14.57543
1979,10,15,-17.206326
1979,10,16,-18.158112
1979,10,17,-18.460018
1979,10,18,-19.459772
1979,10,19,-19.204483
1979,10,20,-17.237053
1979,10,21,-14.141766
1979,10,22,-14.541613
1979,10,23,-17.32983
1979,10,24,-18.596823
1979,10,25,-17.805456
1979,10,26,-15.93192
1979,10,27,-13.882202
1979,10,28,-12.728018
1979,10,29,-13.616748
1979,10,30,-12.30843
1979,10,31,-9.62642
1979,11,1,-8.219086
1979,11,2,-9.175375
1979,11,3,-8.205238
1979,11,4,-7.6426163
1979,11,5,-6.430341
1979,11,6,-4.4757767
1979,11,7,-3.4204817
1979,11,8,-2.2493753
1979,11,9,-1.1750612
1979,11,10,0.1427126
1979,11,11,0.41814423
1979,11,12,-0.9570689
1979,11,13,-1.208806
1979,11,14,-1.2356281
1979,11,15,-1.8095837
1979,11,16,-2.2975116
1979,11,17,-3.5929406
1979,11,18,-4.5576243
1979,11,19,-6.071371
1979,11,20,-7.2891917
1979,11,21,-8.199836
1979,11,22,-8.730378
1979,11,23,-9.741635
1979,11,24,-9.966916
1979,11,25,-9.758848
1979,11,26,-9.349467
1979,11,27,-8.888122
1979,11,28,-8.326818
1979,11,29,-7.6753316
1979,11,30,-7.4418025
1979,12,1,-7.461296
1979,12,2,-7.42439
1979,12,3,-7.2223425
1979,12,4,-6.6743665
1979,12,5,-6.4718943
1979,12,6,-6.016629
1979,12,7,-5.3031235
1979,12,8,-4.5265636
1979,12,9,-3.9338112
1979,12,10,-3.679532
1979,12,11,-3.3531837
1979,12,12,-3.4050236
1979,12,13,-3.593604
1979,12,14,-3.3522882
1979,12,15,-2.6568518
1979,12,16,-2.3514137
1979,12,17,-2.0055037
1979,12,18,-1.8206253
1979,12,19,-1.6970453
1979,12,20,-1.4485636
1979,12,21,-0.75562
1979,12,22,-0.13637733
1979,12,23,0.1734848
1979,12,24,0.29591465
1979,12,25,0.6093006
1979,12,26,1.1141014
1979,12,27,1.1845894
1979,12,28,1.1518507
1979,12,29,1.4802523
1979,12,30,1.7168055
1979,12,31,1.9771547
1980,1,1,2.0224152
1980,1,2,1.9496794
1980,1,3,1.9587574
1980,1,4,1.6376848
1980,1,5,1.5423136
1980,1,6,1.3969679
1980,1,7,1.5269384
1980,1,8,1.3580847
1980,1,9,1.2673035
1980,1,10,1.0812006
1980,1,11,0.75192165
1980,1,12,0.5323963
1980,1,13,0.41609383
1980,1,14,0.2710724
1980,1,15,0.19770527
1980,1,16,0.14896011
1980,1,17,0.0680418
1980,1,18,-0.27007294
1980,1,19,-0.33283424
1980,1,20,-0.024697304
1980,1,21,-0.14513874
1980,1,22,-0.311141
1980,1,23,-0.5773907
1980,1,24,-0.9657917
1980,1,25,-1.2807436
1980,1,26,-0.9634342
1980,1,27,-1.1026249
1980,1,28,-1.1347628
1980,1,29,-0.8585768
1980,1,30,-0.65083075
1980,1,31,-0.7857146
1980,2,1,-0.7255988
1980,2,2,-0.49722338
1980,2,3,-0.45841742
1980,2,4,-0.38215065
1980,2,5,-0.31518984
1980,2,6,-0.62672997
1980,2,7,-0.99354553
1980,2,8,-1.5734911
1980,2,9,-2.28702
1980,2,10,-2.8406732
1980,2,11,-2.6402032
1980,2,12,-2.8965502
1980,2,13,-3.11006
1980,2,14,-3.0492063
1980,2,15,-3.1587644
1980,2,16,-3.1272304
1980,2,17,-3.124566
1980,2,18,-3.1673756
1980,2,19,-3.1401486
1980,2,20,-2.9665785
1980,2,21,-2.9812558
1980,2,22,-2.966098
1980,2,23,-3.0714452
1980,2,24,-3.1618311
1980,2,25,-3.4970698
1980,2,26,-3.7465043
1980,2,27,-3.9555707
1980,2,28,-4.0698094
1980,2,29,nan
1980,3,1,-3.5479302
1980,3,2,-3.118705
1980,3,3,-2.8766232
1980,3,4,-3.4348764
1980,3,5,-3.9963188
1980,3,6,-4.07996
1980,3,7,-4.2601995
1980,3,8,-4.8134637
1980,3,9,-4.9409595
1980,3,10,-4.521354
1980,3,11,-4.5536647
1980,3,12,-4.9782853
1980,3,13,-5.171602
1980,3,14,-5.7286816
1980,3,15,-6.131034
1980,3,16,-6.4402013
1980,3,17,-7.694704
1980,3,18,-8.112034
1980,3,19,-7.9289656
1980,3,20,-7.693223
1980,3,21,-7.2069845
1980,3,22,-7.402089
1980,3,23,-7.463539
1980,3,24,-7.2481565
1980,3,25,-7.0694103
1980,3,26,-7.005556
1980,3,27,-7.6447763
1980,3,28,-7.7890234
1980,3,29,-7.4365635
1980,3,30,-6.750456
1980,3,31,-6.075469
1980,4,1,-5.447548
1980,4,2,-4.3546753
1980,4,3,-3.4858284
1980,4,4,-3.7744179
1980,4,5,-4.1527176
1980,4,6,-4.383089
1980,4,7,-4.7293816
1980,4,8,-4.8843403
1980,4,9,-4.9745865
1980,4,10,-4.973013
1980,4,11,-5.952532
1980,4,12,-6.1815624
1980,4,13,-6.1366997
1980,4,14,-5.768814
1980,4,15,-6.187168
1980,4,16,-6.9980965
1980,4,17,-6.363243
1980,4,18,-3.910246
1980,4,19,-1.6964874
1980,4,20,-0.46562958
1980,4,21,-0.7293701
1980,4,22,-1.6083832
1980,4,23,-2.0061188
1980,4,24,-2.164856
1980,4,25,-2.810688
1980,4,26,-3.8294983
1980,4,27,-4.5465126
1980,4,28,-6.6100845
1980,4,29,-9.070295
1980,4,30,-9.602594
1980,5,1,-8.2334175
1980,5,2,-6.4075165
1980,5,3,-5.4375725
1980,5,4,-5.847599
1980,5,5,-5.9606094
1980,5,6,-3.8856773
1980,5,7,-1.9722137
1980,5,8,-0.7996712
1980,5,9,0.2697258
1980,5,10,1.260601
1980,5,11,1.1303177
1980,5,12,0.9102173
1980,5,13,0.9114342
1980,5,14,0.73306274
1980,5,15,0.43293762
1980,5,16,-0.31991577
1980,5,17,-0.37316895
1980,5,18,-0.73321533
1980,5,19,-1.2466469
1980,5,20,-1.449997
1980,5,21,0.37688446
1980,5,22,2.1220932
1980,5,23,2.1610603
1980,5,24,1.7947426
1980,5,25,1.8381615
1980,5,26,1.9619751
1980,5,27,1.6880875
1980,5,28,1.2101669
1980,5,29,-0.06896973
1980,5,30,-1.7513618
1980,5,31,-1.6531944
1980,6,1,-0.4577713
1980,6,2,-1.7132072
1980,6,3,-5.825775
1980,6,4,-9.217022
1980,6,5,-13.513008
1980,6,6,-17.000206
1980,6,7,-18.13723
1980,6,8,-17.937016
1980,6,9,-18.7314
1980,6,10,-18.275105
1980,6,11,-15.532932
1980,6,12,-12.207367
1980,6,13,-8.654694
1980,6,14,-8.478268
1980,6,15,-9.31916
1980,6,16,-7.967491
1980,6,17,-6.0310364
1980,6,18,-3.8491592
1980,6,19,-3.6807137
1980,6,20,-4.5477104
1980,6,21,-4.2957916
1980,6,22,-1.8477898
1980,6,23,0.2738266
1980,6,24,-0.14325714
1980,6,25,-2.4454994
1980,6,26,-2.9153519
1980,6,27,-1.6445084
1980,6,28,-0.9820862
1980,6,29,-0.016075134
1980,6,30,-0.896965
1980,7,1,-0.55797577
1980,7,2,-0.89775085
1980,7,3,-1.603241
